train_loss,train_elbo_loss,epoch,step,val_ND,val_CRPS,val_NRMSE
0.3791884183883667,0.3791884183883667,0,127,,,
0.19053630530834198,0.19053630530834198,1,255,,,
0.16555503010749817,0.16555503010749817,2,383,,,
0.15409037470817566,0.15409037470817566,3,511,,,
0.14568941295146942,0.14568941295146942,4,639,,,
0.141210675239563,0.141210675239563,5,767,,,
0.1372716724872589,0.1372716724872589,6,895,,,
0.13180799782276154,0.13180799782276154,7,1023,,,
0.12918077409267426,0.12918077409267426,8,1151,,,
0.1298741102218628,0.1298741102218628,9,1279,,,
0.12465658783912659,0.12465658783912659,10,1407,,,
0.12831266224384308,0.12831266224384308,11,1535,,,
0.12699757516384125,0.12699757516384125,12,1663,,,
0.12273001670837402,0.12273001670837402,13,1791,,,
0.1245889961719513,0.1245889961719513,14,1919,,,
0.12377849221229553,0.12377849221229553,15,2047,,,
0.12178996950387955,0.12178996950387955,16,2175,,,
0.12173491716384888,0.12173491716384888,17,2303,,,
0.12140379846096039,0.12140379846096039,18,2431,,,
0.12064748257398605,0.12064748257398605,19,2559,,,
0.12100589275360107,0.12100589275360107,20,2687,,,
0.11921240389347076,0.11921240389347076,21,2815,,,
0.11868387460708618,0.11868387460708618,22,2943,,,
0.1186494380235672,0.1186494380235672,23,3071,,,
0.12086997926235199,0.12086997926235199,24,3199,,,
0.11522509157657623,0.11522509157657623,25,3327,,,
0.11560771614313126,0.11560771614313126,26,3455,,,
0.11664395779371262,0.11664395779371262,27,3583,,,
0.11532815545797348,0.11532815545797348,28,3711,,,
0.11582066118717194,0.11582066118717194,29,3839,,,
0.11674035340547562,0.11674035340547562,30,3967,,,
0.11531976610422134,0.11531976610422134,31,4095,,,
0.11342769861221313,0.11342769861221313,32,4223,,,
0.11131585389375687,0.11131585389375687,33,4351,,,
0.11434587836265564,0.11434587836265564,34,4479,,,
0.1165931299328804,0.1165931299328804,35,4607,,,
0.11269271373748779,0.11269271373748779,36,4735,,,
0.10982111096382141,0.10982111096382141,37,4863,,,
0.1109871193766594,0.1109871193766594,38,4991,,,
0.11030340194702148,0.11030340194702148,39,5119,,,
0.11060824245214462,0.11060824245214462,40,5247,,,
0.11115744709968567,0.11115744709968567,41,5375,,,
0.1135174110531807,0.1135174110531807,42,5503,,,
0.11537513881921768,0.11537513881921768,43,5631,,,
0.11378439515829086,0.11378439515829086,44,5759,,,
0.10867325216531754,0.10867325216531754,45,5887,,,
0.11073559522628784,0.11073559522628784,46,6015,,,
0.11041432619094849,0.11041432619094849,47,6143,,,
0.10737676173448563,0.10737676173448563,48,6271,,,
0.10842572152614594,0.10842572152614594,49,6399,0.7081666430363397,0.5951449883541677,1.472453567199321
0.10878726840019226,0.10878726840019226,50,6527,,,
0.11038833856582642,0.11038833856582642,51,6655,,,
0.10722721368074417,0.10722721368074417,52,6783,,,
0.10736482590436935,0.10736482590436935,53,6911,,,
0.10806350409984589,0.10806350409984589,54,7039,,,
0.10635562986135483,0.10635562986135483,55,7167,,,
0.11236466467380524,0.11236466467380524,56,7295,,,
0.10407010465860367,0.10407010465860367,57,7423,,,
0.10872913151979446,0.10872913151979446,58,7551,,,
0.10752354562282562,0.10752354562282562,59,7679,,,
0.10815956443548203,0.10815956443548203,60,7807,,,
0.10668773949146271,0.10668773949146271,61,7935,,,
0.10728386789560318,0.10728386789560318,62,8063,,,
0.1074015274643898,0.1074015274643898,63,8191,,,
0.1080116257071495,0.1080116257071495,64,8319,,,
0.10669708251953125,0.10669708251953125,65,8447,,,
0.10591092705726624,0.10591092705726624,66,8575,,,
0.10794522613286972,0.10794522613286972,67,8703,,,
0.10546568781137466,0.10546568781137466,68,8831,,,
0.10125675797462463,0.10125675797462463,69,8959,,,
0.10638680309057236,0.10638680309057236,70,9087,,,
0.10421299934387207,0.10421299934387207,71,9215,,,
0.10584793239831924,0.10584793239831924,72,9343,,,
0.10382580012083054,0.10382580012083054,73,9471,,,
0.10580608993768692,0.10580608993768692,74,9599,,,
0.10348108410835266,0.10348108410835266,75,9727,,,
0.10643268376588821,0.10643268376588821,76,9855,,,
0.1031995564699173,0.1031995564699173,77,9983,,,
0.10462673753499985,0.10462673753499985,78,10111,,,
0.10342270880937576,0.10342270880937576,79,10239,,,
0.10521932691335678,0.10521932691335678,80,10367,,,
0.10512450337409973,0.10512450337409973,81,10495,,,
0.10580626875162125,0.10580626875162125,82,10623,,,
0.10435253381729126,0.10435253381729126,83,10751,,,
0.10469477623701096,0.10469477623701096,84,10879,,,
0.10206365585327148,0.10206365585327148,85,11007,,,
0.10451050102710724,0.10451050102710724,86,11135,,,
0.10567490011453629,0.10567490011453629,87,11263,,,
0.10617484897375107,0.10617484897375107,88,11391,,,
0.10526192933320999,0.10526192933320999,89,11519,,,
0.10350650548934937,0.10350650548934937,90,11647,,,
0.10501235723495483,0.10501235723495483,91,11775,,,
0.10560590773820877,0.10560590773820877,92,11903,,,
0.10318873822689056,0.10318873822689056,93,12031,,,
0.10315385460853577,0.10315385460853577,94,12159,,,
0.10474801808595657,0.10474801808595657,95,12287,,,
0.10609323531389236,0.10609323531389236,96,12415,,,
0.10407405346632004,0.10407405346632004,97,12543,,,
0.10178836435079575,0.10178836435079575,98,12671,,,
0.1028444841504097,0.1028444841504097,99,12799,0.7107563430947134,0.591305197930639,1.4316805666549446
0.10403700172901154,0.10403700172901154,100,12927,,,
0.10197540372610092,0.10197540372610092,101,13055,,,
0.10304219275712967,0.10304219275712967,102,13183,,,
0.1019279882311821,0.1019279882311821,103,13311,,,
0.10063633322715759,0.10063633322715759,104,13439,,,
0.1017349362373352,0.1017349362373352,105,13567,,,
0.10291124135255814,0.10291124135255814,106,13695,,,
0.10127736628055573,0.10127736628055573,107,13823,,,
0.10031352192163467,0.10031352192163467,108,13951,,,
0.1021137461066246,0.1021137461066246,109,14079,,,
0.09997612982988358,0.09997612982988358,110,14207,,,
0.10036422312259674,0.10036422312259674,111,14335,,,
0.1004708930850029,0.1004708930850029,112,14463,,,
0.10329894721508026,0.10329894721508026,113,14591,,,
0.09982320666313171,0.09982320666313171,114,14719,,,
0.09986651688814163,0.09986651688814163,115,14847,,,
0.10108981281518936,0.10108981281518936,116,14975,,,
0.10131796449422836,0.10131796449422836,117,15103,,,
0.10051080584526062,0.10051080584526062,118,15231,,,
0.10083679854869843,0.10083679854869843,119,15359,,,
0.10173659026622772,0.10173659026622772,120,15487,,,
0.10062012076377869,0.10062012076377869,121,15615,,,
0.10093015432357788,0.10093015432357788,122,15743,,,
0.10030511021614075,0.10030511021614075,123,15871,,,
0.1016346663236618,0.1016346663236618,124,15999,,,
0.0994550958275795,0.0994550958275795,125,16127,,,
0.10196966677904129,0.10196966677904129,126,16255,,,
0.09858529269695282,0.09858529269695282,127,16383,,,
0.09978543967008591,0.09978543967008591,128,16511,,,
0.10015012323856354,0.10015012323856354,129,16639,,,
0.10087981820106506,0.10087981820106506,130,16767,,,
0.10092225670814514,0.10092225670814514,131,16895,,,
0.10056662559509277,0.10056662559509277,132,17023,,,
0.09988892823457718,0.09988892823457718,133,17151,,,
0.09916973114013672,0.09916973114013672,134,17279,,,
0.10056367516517639,0.10056367516517639,135,17407,,,
0.10118281841278076,0.10118281841278076,136,17535,,,
0.09817826747894287,0.09817826747894287,137,17663,,,
0.09950803220272064,0.09950803220272064,138,17791,,,
0.10104485601186752,0.10104485601186752,139,17919,,,
0.09886185824871063,0.09886185824871063,140,18047,,,
0.100731760263443,0.100731760263443,141,18175,,,
0.097023606300354,0.097023606300354,142,18303,,,
0.1013631746172905,0.1013631746172905,143,18431,,,
0.09871073067188263,0.09871073067188263,144,18559,,,
0.09945048391819,0.09945048391819,145,18687,,,
0.09871092438697815,0.09871092438697815,146,18815,,,
0.09748592972755432,0.09748592972755432,147,18943,,,
0.09753119945526123,0.09753119945526123,148,19071,,,
